# Time-averaged data for fix ave
# TimeStep v_rho v_p v_n1
100 0.408187 -91695.6 100
200 0.408187 -91695.6 100
300 0.408187 -91695.6 100
400 0.408187 -91695.6 100
500 0.408187 -91695.6 100
600 0.408187 -91695.6 100
700 0.408187 -91695.6 100
800 0.408187 -91695.6 100
900 0.408187 -91695.6 100
1000 0.408187 -91695.6 100
1100 0.408187 -91695.6 100
1200 0.408187 -91695.6 100
1300 0.408187 -91695.6 100
1400 0.408187 -91695.6 100
1500 0.408187 -91695.6 100
1600 0.408187 -91695.6 100
1700 0.408187 -91695.6 100
1800 0.408187 -91695.6 100
1900 0.408187 -91695.6 100
2000 0.408187 -91695.6 100
2100 0.408187 -91695.6 100
2200 0.408187 -91695.6 100
2300 0.408187 -91695.6 100
2400 0.408187 -91695.6 100
2500 0.408187 -91695.6 100
2600 0.408187 -91695.6 100
2700 0.408187 -91695.6 100
2800 0.408187 -91695.6 100
2900 0.408187 -91695.6 100
3000 0.408187 -91695.6 100
3100 0.408187 -91695.6 100
3200 0.408187 -91695.6 100
3300 0.410228 -93941.7 100.5
3400 0.412269 -96364.1 101
3500 0.412269 -96364.1 101
3600 0.412269 -95755.2 101
3700 0.412269 -95164.2 101
3800 0.412269 -95136.7 101
3900 0.412269 -95241.7 101
4000 0.412269 -95241.7 101
4100 0.412269 -95241.7 101
4200 0.412269 -95241.7 101
4300 0.412269 -95240.7 101
4400 0.412269 -95195.8 101
4500 0.412269 -94813.4 101
4600 0.415127 -94438.4 101.7
4700 0.416351 -97299.3 102
4800 0.416351 -97299.3 102
4900 0.416351 -97299.3 102
5000 0.416351 -96915.7 102
5100 0.416351 -96020.5 102
5200 0.416351 -96020.5 102
5300 0.416351 -96020.5 102
5400 0.416351 -96020.5 102
5500 0.416351 -96020.5 102
5600 0.416351 -96761.2 102
5700 0.416351 -97502.2 102
5800 0.416351 -97757.3 102
5900 0.416351 -98050.3 102
6000 0.416351 -98050.3 102
6100 0.416351 -98003.5 102
6200 0.416351 -97991.8 102
6300 0.416351 -97991.8 102
6400 0.416351 -97991.8 102
6500 0.416351 -97991.8 102
6600 0.416351 -97991.8 102
6700 0.416351 -98403.7 102
6800 0.416351 -98506.7 102
6900 0.416351 -98506.7 102
7000 0.416351 -98506.7 102
7100 0.416351 -98506.7 102
7200 0.416351 -98506.7 102
7300 0.416351 -98506.7 102
7400 0.413086 -97315.2 101.2
7500 0.412269 -97017.3 101
7600 0.412269 -97017.3 101
