# Time-averaged data for fix ave
# TimeStep v_rho v_p v_n1
100 0.420433 -80406.2 103
200 0.420433 -80406.2 103
300 0.420433 -80406.2 103
400 0.420433 -80406.2 103
500 0.420433 -80406.2 103
600 0.420433 -80406.2 103
700 0.420433 -80406.2 103
800 0.420433 -80406.2 103
900 0.420433 -80406.2 103
1000 0.420433 -80406.2 103
1100 0.420433 -80406.2 103
1200 0.420433 -80406.2 103
1300 0.420433 -80406.2 103
1400 0.420433 -80406.2 103
1500 0.420433 -80406.2 103
1600 0.420433 -80406.2 103
1700 0.420433 -80406.2 103
1800 0.420433 -80406.2 103
1900 0.420433 -80406.2 103
2000 0.420433 -80406.2 103
2100 0.420433 -80406.2 103
2200 0.420433 -80406.2 103
2300 0.420433 -79688.8 103
2400 0.420433 -79381.4 103
2500 0.420433 -79381.4 103
2600 0.420433 -79381.4 103
2700 0.420433 -79279.5 103
2800 0.420433 -78872 103
2900 0.420433 -78872 103
3000 0.420433 -78872 103
3100 0.420433 -78872 103
3200 0.420433 -78872 103
3300 0.420433 -78872 103
3400 0.420433 -78872 103
3500 0.419208 -78016.9 102.7
3600 0.416351 -76021.8 102
3700 0.416351 -76021.8 102
3800 0.416351 -76021.8 102
3900 0.416351 -75882.5 102
