# Time-averaged data for fix ave
# TimeStep v_rho v_p v_n1
100 0.616363 -218702 151
200 0.616363 -218702 151
300 0.616363 -218702 151
400 0.616363 -218702 151
500 0.616363 -218702 151
600 0.616363 -218702 151
700 0.616363 -218702 151
800 0.616363 -218702 151
900 0.616363 -218702 151
1000 0.616363 -218702 151
1100 0.616363 -218702 151
1200 0.616363 -218702 151
1300 0.616363 -218702 151
1400 0.616363 -218702 151
1500 0.616363 -218705 151
1600 0.616363 -218708 151
1700 0.616363 -218708 151
1800 0.616363 -218708 151
1900 0.616363 -218708 151
2000 0.616363 -218708 151
2100 0.616363 -218708 151
2200 0.616363 -218708 151
2300 0.616363 -218847 151
2400 0.616363 -218847 151
2500 0.616363 -218847 151
2600 0.616363 -218847 151
2700 0.616363 -218847 151
2800 0.616363 -218847 151
2900 0.616363 -218847 151
3000 0.616363 -218847 151
3100 0.616363 -218847 151
3200 0.616363 -218847 151
3300 0.616363 -218847 151
3400 0.616363 -218847 151
3500 0.616363 -218847 151
3600 0.616363 -218847 151
3700 0.616363 -218847 151
3800 0.616363 -218847 151
3900 0.616363 -218847 151
4000 0.616363 -218847 151
